GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Cryptomator Desktop App,org.cryptomator.ui.lock,LockFailedController,17,0,0,0,7,0,3,0,3,0
Cryptomator Desktop App,org.cryptomator.ui.lock,LockForcedController,61,0,0,0,18,0,7,0,7,0
Cryptomator Desktop App,org.cryptomator.ui.lock,LockComponent,10,0,0,0,3,0,1,0,1,0
Cryptomator Desktop App,org.cryptomator.ui.lock,LockWorkflow,205,0,4,0,49,0,12,0,10,0
Cryptomator Desktop App,org.cryptomator.ui.lock,LockModule,46,0,2,0,13,0,7,0,6,0
Cryptomator Desktop App,org.cryptomator.launcher,Cryptomator.MainApp,26,0,0,0,10,0,3,0,3,0
Cryptomator Desktop App,org.cryptomator.launcher,SupportedLanguages,71,180,2,0,17,2,5,1,4,1
Cryptomator Desktop App,org.cryptomator.launcher,AppLaunchEvent.EventType,0,15,0,0,0,3,0,1,0,1
Cryptomator Desktop App,org.cryptomator.launcher,AppLaunchEvent,0,9,0,0,0,1,0,1,0,1
Cryptomator Desktop App,org.cryptomator.launcher,Cryptomator,219,0,10,0,53,0,11,0,6,0
Cryptomator Desktop App,org.cryptomator.launcher,IpcMessageHandler,41,0,0,0,10,0,5,0,5,0
Cryptomator Desktop App,org.cryptomator.launcher,FileOpenRequestHandler,17,70,2,6,4,21,3,8,1,6
Cryptomator Desktop App,org.cryptomator.launcher,CryptomatorModule,17,0,0,0,6,0,6,0,6,0
Cryptomator Desktop App,org.cryptomator.ipc,IpcCommunicator,28,51,1,3,11,13,3,4,2,3
Cryptomator Desktop App,org.cryptomator.ipc,Server,38,79,3,3,17,27,5,7,3,6
Cryptomator Desktop App,org.cryptomator.ipc,HandleLaunchArgsMessage,0,34,0,0,0,7,0,4,0,4
Cryptomator Desktop App,org.cryptomator.ipc,IpcMessageListener,7,18,1,1,1,3,1,1,0,1
Cryptomator Desktop App,org.cryptomator.ipc,LoopbackCommunicator,16,41,0,0,7,15,1,7,1,7
Cryptomator Desktop App,org.cryptomator.ipc,RevealRunningAppMessage,0,12,0,0,0,4,0,4,0,4
Cryptomator Desktop App,org.cryptomator.ipc,IpcMessage.MessageType,8,35,0,0,2,8,0,4,0,4
Cryptomator Desktop App,org.cryptomator.ipc,IpcMessage,0,75,0,4,0,20,0,4,0,2
Cryptomator Desktop App,org.cryptomator.ipc,Client,32,41,2,0,13,15,4,6,3,6
Cryptomator Desktop App,org.cryptomator.ui.stats,VaultStatisticsController,300,0,0,0,60,0,32,0,32,0
Cryptomator Desktop App,org.cryptomator.ui.stats,VaultStatisticsController.IoSamplingAnimationHandler,242,0,2,0,36,0,3,0,2,0
Cryptomator Desktop App,org.cryptomator.ui.stats,VaultStatisticsModule,57,0,0,0,10,0,5,0,5,0
